subject,message,label
Report,"Hi, let's catch up for lunch tomorrow.",Personal
Report,Are you free for a meeting this afternoon?,Personal
Project Update,Attached is the project update for this week.,University
Meeting,Please find the attached report.,University
Vacation,"Hi, let's catch up for lunch tomorrow.",University
Weekend Plans,"Hi, let's catch up for lunch tomorrow.",Personal
Meeting,Attached is the project update for this week.,Personal
Vacation,"I'm on vacation next week, will be out of office.",Personal
Vacation,Attached is the project update for this week.,University
Report,Please find the attached report.,University
Weekend Plans,Attached is the project update for this week.,Work
Vacation,Are you free for a meeting this afternoon?,Personal
Research Proposal,I have attached the research proposal for your review.,Personal
Report,Let's plan a weekend getaway.,Work
Lunch Plans,Attached is the project update for this week.,Personal
Research Proposal,Are you free for a meeting this afternoon?,Personal
Meeting,Let's plan a weekend getaway.,Personal
Lunch Plans,I have attached the research proposal for your review.,Work
Vacation,Are you free for a meeting this afternoon?,Personal
Report,Let's plan a weekend getaway.,University
Meeting,Let's plan a weekend getaway.,Personal
Vacation,Are you free for a meeting this afternoon?,University
Vacation,I have attached the research proposal for your review.,Work
Vacation,Attached is the project update for this week.,University
Meeting,"Hi, let's catch up for lunch tomorrow.",University
Project Update,I have attached the research proposal for your review.,Work
Meeting,I have attached the research proposal for your review.,Personal
Research Proposal,"Hi, let's catch up for lunch tomorrow.",Work
Lunch Plans,Let's plan a weekend getaway.,University
Research Proposal,Are you free for a meeting this afternoon?,Personal
Lunch Plans,Are you free for a meeting this afternoon?,Personal
Report,Are you free for a meeting this afternoon?,University
Report,Please find the attached report.,Personal
Vacation,Please find the attached report.,Personal
Vacation,Please find the attached report.,Personal
Project Update,Let's plan a weekend getaway.,Work
Lunch Plans,Please find the attached report.,University
Vacation,Attached is the project update for this week.,University
Lunch Plans,I have attached the research proposal for your review.,Personal
Project Update,I have attached the research proposal for your review.,Personal
Research Proposal,Are you free for a meeting this afternoon?,Work
Lunch Plans,"Hi, let's catch up for lunch tomorrow.",Personal
Vacation,Please find the attached report.,Work
Project Update,Please find the attached report.,Work
Weekend Plans,Please find the attached report.,Work
Project Update,Are you free for a meeting this afternoon?,Personal
Project Update,Please find the attached report.,University
Vacation,Are you free for a meeting this afternoon?,University
Vacation,Let's plan a weekend getaway.,University
Weekend Plans,Are you free for a meeting this afternoon?,Personal
Project Update,"I'm on vacation next week, will be out of office.",Work
Meeting,I have attached the research proposal for your review.,Personal
Research Proposal,"Hi, let's catch up for lunch tomorrow.",Personal
Report,Attached is the project update for this week.,University
Weekend Plans,"I'm on vacation next week, will be out of office.",Personal
Weekend Plans,Let's plan a weekend getaway.,University
Weekend Plans,"I'm on vacation next week, will be out of office.",Work
Vacation,I have attached the research proposal for your review.,Personal
Report,Please find the attached report.,Personal
Report,"I'm on vacation next week, will be out of office.",Work
Research Proposal,Please find the attached report.,Work
Meeting,Are you free for a meeting this afternoon?,Work
Project Update,Let's plan a weekend getaway.,Personal
Report,Please find the attached report.,Work
Vacation,I have attached the research proposal for your review.,Personal
Vacation,"Hi, let's catch up for lunch tomorrow.",University
Lunch Plans,I have attached the research proposal for your review.,University
Vacation,"I'm on vacation next week, will be out of office.",Personal
Project Update,Are you free for a meeting this afternoon?,Personal
Vacation,I have attached the research proposal for your review.,University
Meeting,"I'm on vacation next week, will be out of office.",Work
Weekend Plans,"Hi, let's catch up for lunch tomorrow.",Personal
Lunch Plans,I have attached the research proposal for your review.,Work
Project Update,"Hi, let's catch up for lunch tomorrow.",Personal
Vacation,"Hi, let's catch up for lunch tomorrow.",Personal
Report,Let's plan a weekend getaway.,Personal
Research Proposal,"I'm on vacation next week, will be out of office.",Personal
Project Update,Please find the attached report.,Work
Vacation,Attached is the project update for this week.,Work
Vacation,I have attached the research proposal for your review.,University
Weekend Plans,Attached is the project update for this week.,University
Research Proposal,Please find the attached report.,University
Project Update,Please find the attached report.,Work
Weekend Plans,Please find the attached report.,University
Lunch Plans,Let's plan a weekend getaway.,University
Weekend Plans,"Hi, let's catch up for lunch tomorrow.",Personal
Project Update,"Hi, let's catch up for lunch tomorrow.",Work
Meeting,"I'm on vacation next week, will be out of office.",University
Project Update,"I'm on vacation next week, will be out of office.",Personal
Meeting,"Hi, let's catch up for lunch tomorrow.",University
Report,"Hi, let's catch up for lunch tomorrow.",Personal
Meeting,"Hi, let's catch up for lunch tomorrow.",Work
Meeting,"I'm on vacation next week, will be out of office.",Personal
Lunch Plans,Please find the attached report.,Work
Project Update,"I'm on vacation next week, will be out of office.",Personal
Report,"I'm on vacation next week, will be out of office.",University
Weekend Plans,Attached is the project update for this week.,Work
Research Proposal,Let's plan a weekend getaway.,Personal
Meeting,"Hi, let's catch up for lunch tomorrow.",University
Weekend Plans,Are you free for a meeting this afternoon?,Work
